,policyID,county
81,862584,COLUMBIA COUNTY
82,371891,COLUMBIA COUNTY
83,785595,COLUMBIA COUNTY
84,567696,COLUMBIA COUNTY
85,219025,COLUMBIA COUNTY
86,447216,COLUMBIA COUNTY
87,305141,COLUMBIA COUNTY
88,625575,COLUMBIA COUNTY
89,262109,COLUMBIA COUNTY
90,228457,COLUMBIA COUNTY
91,622799,COLUMBIA COUNTY
92,233271,COLUMBIA COUNTY
93,932950,COLUMBIA COUNTY
94,641952,COLUMBIA COUNTY
95,796260,COLUMBIA COUNTY
96,301822,COLUMBIA COUNTY
97,559927,COLUMBIA COUNTY
98,224400,COLUMBIA COUNTY
99,123936,COLUMBIA COUNTY
100,333818,COLUMBIA COUNTY
101,254323,COLUMBIA COUNTY
102,247444,COLUMBIA COUNTY
103,882598,COLUMBIA COUNTY
104,386918,COLUMBIA COUNTY
105,497337,COLUMBIA COUNTY
106,526844,COLUMBIA COUNTY
107,623400,COLUMBIA COUNTY
108,826170,COLUMBIA COUNTY
109,185483,COLUMBIA COUNTY
110,920003,COLUMBIA COUNTY
111,274246,COLUMBIA COUNTY
112,423636,COLUMBIA COUNTY
113,970906,COLUMBIA COUNTY
114,227898,COLUMBIA COUNTY
115,525138,COLUMBIA COUNTY
116,923627,COLUMBIA COUNTY
117,619743,COLUMBIA COUNTY
118,910727,COLUMBIA COUNTY
119,363647,COLUMBIA COUNTY
120,512519,COLUMBIA COUNTY
121,904304,COLUMBIA COUNTY
122,835349,COLUMBIA COUNTY
123,891725,COLUMBIA COUNTY
124,923503,COLUMBIA COUNTY
125,292347,COLUMBIA COUNTY
126,363828,COLUMBIA COUNTY
127,110490,COLUMBIA COUNTY
128,480733,COLUMBIA COUNTY
129,993346,COLUMBIA COUNTY
130,934992,ST  JOHNS COUNTY
131,645841,ST  JOHNS COUNTY
132,747846,ST  JOHNS COUNTY
133,482457,ST  JOHNS COUNTY
134,574787,ST  JOHNS COUNTY
135,831418,ST  JOHNS COUNTY
136,968562,ST  JOHNS COUNTY
137,576324,ST  JOHNS COUNTY
138,290435,ST  JOHNS COUNTY
139,526086,ST  JOHNS COUNTY
140,119823,ST  JOHNS COUNTY
141,497414,ST  JOHNS COUNTY
142,340883,ST  JOHNS COUNTY
143,892551,ST  JOHNS COUNTY
144,670595,ST  JOHNS COUNTY
145,194101,ST  JOHNS COUNTY
146,167200,ST  JOHNS COUNTY
147,139064,ST  JOHNS COUNTY
148,846636,ST  JOHNS COUNTY
149,310177,NASSAU COUNTY
150,865452,NASSAU COUNTY
151,783429,NASSAU COUNTY
152,878060,NASSAU COUNTY
153,935342,NASSAU COUNTY
154,456376,NASSAU COUNTY
155,363001,NASSAU COUNTY
156,478864,NASSAU COUNTY
157,600402,NASSAU COUNTY
158,483983,NASSAU COUNTY
159,991615,NASSAU COUNTY
160,644573,NASSAU COUNTY
161,853278,NASSAU COUNTY
162,100658,NASSAU COUNTY
163,433115,NASSAU COUNTY
164,760337,NASSAU COUNTY
165,884738,NASSAU COUNTY
166,610102,NASSAU COUNTY
167,830823,NASSAU COUNTY
168,618364,NASSAU COUNTY
169,712563,NASSAU COUNTY
170,493030,NASSAU COUNTY
171,188150,NASSAU COUNTY
172,589642,NASSAU COUNTY
173,846109,NASSAU COUNTY
174,399079,NASSAU COUNTY
175,680135,NASSAU COUNTY
176,621379,NASSAU COUNTY
177,606710,NASSAU COUNTY
178,443319,NASSAU COUNTY
179,228591,NASSAU COUNTY
180,721610,NASSAU COUNTY
181,507395,NASSAU COUNTY
182,213399,NASSAU COUNTY
183,579400,NASSAU COUNTY
184,509951,NASSAU COUNTY
185,930798,NASSAU COUNTY
186,729247,NASSAU COUNTY
187,288344,NASSAU COUNTY
188,275351,NASSAU COUNTY
189,976690,NASSAU COUNTY
190,507111,NASSAU COUNTY
191,547458,NASSAU COUNTY
192,827732,NASSAU COUNTY
193,229489,NASSAU COUNTY
194,175251,NASSAU COUNTY
195,590043,NASSAU COUNTY
196,476037,NASSAU COUNTY
197,674960,NASSAU COUNTY
198,743790,NASSAU COUNTY
199,817283,NASSAU COUNTY
200,201980,NASSAU COUNTY
201,351505,NASSAU COUNTY
202,798806,NASSAU COUNTY
203,153643,NASSAU COUNTY
204,683653,NASSAU COUNTY
205,475264,NASSAU COUNTY
206,912944,NASSAU COUNTY
207,945134,NASSAU COUNTY
208,219959,NASSAU COUNTY
209,793504,NASSAU COUNTY
210,450423,NASSAU COUNTY
211,505178,NASSAU COUNTY
212,408688,NASSAU COUNTY
213,477759,NASSAU COUNTY
214,882441,NASSAU COUNTY
215,727602,NASSAU COUNTY
216,313226,NASSAU COUNTY
217,337027,NASSAU COUNTY
218,649251,NASSAU COUNTY
219,142564,NASSAU COUNTY
220,197782,NASSAU COUNTY
221,709787,NASSAU COUNTY
222,655065,NASSAU COUNTY
223,176778,NASSAU COUNTY
224,559179,NASSAU COUNTY
225,698071,NASSAU COUNTY
226,642950,NASSAU COUNTY
227,477240,NASSAU COUNTY
228,672348,NASSAU COUNTY
229,922844,NASSAU COUNTY
230,948580,NASSAU COUNTY
231,364552,NASSAU COUNTY
232,561601,NASSAU COUNTY
233,584749,NASSAU COUNTY
234,601327,COLUMBIA COUNTY
235,302578,COLUMBIA COUNTY
236,756585,COLUMBIA COUNTY
237,627591,COLUMBIA COUNTY
238,663563,COLUMBIA COUNTY
239,108959,COLUMBIA COUNTY
240,951069,COLUMBIA COUNTY
241,490641,BAKER COUNTY
242,443968,BAKER COUNTY
243,433688,CLAY COUNTY
244,168578,CLAY COUNTY
245,294375,CLAY COUNTY
246,902110,CLAY COUNTY
247,279816,CLAY COUNTY
248,994565,CLAY COUNTY
249,930535,CLAY COUNTY
250,844642,CLAY COUNTY
251,292887,CLAY COUNTY
252,655128,CLAY COUNTY
253,164038,CLAY COUNTY
254,163057,CLAY COUNTY
255,327730,CLAY COUNTY
256,218187,CLAY COUNTY
257,697530,CLAY COUNTY
258,619053,CLAY COUNTY
259,431406,CLAY COUNTY
260,256801,CLAY COUNTY
261,571398,CLAY COUNTY
262,239669,CLAY COUNTY
263,530369,CLAY COUNTY
264,948187,CLAY COUNTY
265,571059,CLAY COUNTY
266,470539,CLAY COUNTY
267,791046,CLAY COUNTY
268,563971,CLAY COUNTY
269,823903,CLAY COUNTY
270,812504,CLAY COUNTY
271,597719,CLAY COUNTY
272,716513,CLAY COUNTY
273,378286,CLAY COUNTY
274,698982,CLAY COUNTY
275,624550,CLAY COUNTY
276,666076,CLAY COUNTY
277,474145,CLAY COUNTY
278,572929,CLAY COUNTY
279,640205,CLAY COUNTY
280,295930,CLAY COUNTY
281,823004,CLAY COUNTY
282,230536,CLAY COUNTY
283,936142,CLAY COUNTY
284,724639,CLAY COUNTY
285,119986,CLAY COUNTY
286,603370,CLAY COUNTY
287,532496,CLAY COUNTY
288,786954,CLAY COUNTY
289,416348,CLAY COUNTY
290,506364,CLAY COUNTY
291,311994,CLAY COUNTY
292,807442,CLAY COUNTY
293,235695,CLAY COUNTY
294,481294,CLAY COUNTY
295,292670,CLAY COUNTY
296,127739,CLAY COUNTY
297,869056,CLAY COUNTY
298,514471,CLAY COUNTY
299,903764,CLAY COUNTY
300,192068,CLAY COUNTY
301,109815,CLAY COUNTY
302,495339,CLAY COUNTY
303,752123,CLAY COUNTY
304,412775,CLAY COUNTY
305,249958,CLAY COUNTY
306,754919,CLAY COUNTY
307,829637,CLAY COUNTY
308,931429,CLAY COUNTY
309,565451,CLAY COUNTY
310,722334,CLAY COUNTY
311,630898,CLAY COUNTY
312,166536,CLAY COUNTY
313,469135,CLAY COUNTY
314,678786,CLAY COUNTY
315,284473,CLAY COUNTY
316,499389,CLAY COUNTY
317,541241,CLAY COUNTY
318,797586,CLAY COUNTY
319,812823,CLAY COUNTY
320,598244,CLAY COUNTY
321,788363,CLAY COUNTY
322,737787,CLAY COUNTY
323,445518,CLAY COUNTY
324,758347,CLAY COUNTY
325,195133,CLAY COUNTY
326,991548,CLAY COUNTY
327,696936,CLAY COUNTY
328,393176,CLAY COUNTY
329,626647,CLAY COUNTY
330,915781,CLAY COUNTY
331,827852,CLAY COUNTY
332,800420,CLAY COUNTY
333,728346,CLAY COUNTY
334,928642,CLAY COUNTY
335,442061,CLAY COUNTY
336,810826,CLAY COUNTY
337,336798,CLAY COUNTY
338,830917,CLAY COUNTY
339,984232,CLAY COUNTY
340,203667,CLAY COUNTY
341,395084,CLAY COUNTY
342,869242,CLAY COUNTY
343,704537,CLAY COUNTY
344,692691,CLAY COUNTY
345,580758,CLAY COUNTY
346,515486,CLAY COUNTY
347,884079,CLAY COUNTY
348,491095,CLAY COUNTY
349,579764,CLAY COUNTY
350,263177,CLAY COUNTY
351,710739,CLAY COUNTY
352,156129,CLAY COUNTY
353,178800,BRADFORD COUNTY
354,406073,BRADFORD COUNTY
355,450089,BRADFORD COUNTY
356,894206,NASSAU COUNTY
357,472007,NASSAU COUNTY
358,500287,NASSAU COUNTY
359,365732,NASSAU COUNTY
360,365145,NASSAU COUNTY
361,237841,NASSAU COUNTY
362,497561,NASSAU COUNTY
363,245837,NASSAU COUNTY
364,732075,NASSAU COUNTY
365,657625,NASSAU COUNTY
366,790556,NASSAU COUNTY
367,207626,NASSAU COUNTY
368,902008,NASSAU COUNTY
369,135936,HAMILTON COUNTY
370,997759,HAMILTON COUNTY
371,470224,HAMILTON COUNTY
372,367761,HAMILTON COUNTY
373,285586,HAMILTON COUNTY
374,122164,HAMILTON COUNTY
375,152913,HAMILTON COUNTY
376,655156,HAMILTON COUNTY
377,989201,HAMILTON COUNTY
378,207985,HAMILTON COUNTY
379,732449,HAMILTON COUNTY
380,665653,HAMILTON COUNTY
381,939634,HAMILTON COUNTY
382,981796,HAMILTON COUNTY
383,269573,HAMILTON COUNTY
384,602123,HAMILTON COUNTY
385,336717,HAMILTON COUNTY
386,238449,HAMILTON COUNTY
387,530357,HAMILTON COUNTY
388,896911,HAMILTON COUNTY
389,391646,HAMILTON COUNTY
390,710345,HAMILTON COUNTY
391,944525,HAMILTON COUNTY
392,800878,HAMILTON COUNTY
393,866106,HAMILTON COUNTY
394,204794,HAMILTON COUNTY
395,849458,HAMILTON COUNTY
396,806471,HAMILTON COUNTY
397,464589,HAMILTON COUNTY
398,591943,UNION COUNTY
399,973133,UNION COUNTY
400,743965,UNION COUNTY
401,528185,UNION COUNTY
402,219113,UNION COUNTY
403,376803,UNION COUNTY
404,233559,COLUMBIA COUNTY
405,579117,COLUMBIA COUNTY
406,517674,COLUMBIA COUNTY
407,980808,COLUMBIA COUNTY
408,143584,COLUMBIA COUNTY
409,489643,COLUMBIA COUNTY
410,986109,COLUMBIA COUNTY
411,654640,COLUMBIA COUNTY
412,700895,COLUMBIA COUNTY
413,407962,COLUMBIA COUNTY
414,494610,COLUMBIA COUNTY
415,744305,COLUMBIA COUNTY
416,512991,COLUMBIA COUNTY
417,507789,COLUMBIA COUNTY
418,186262,COLUMBIA COUNTY
419,978388,COLUMBIA COUNTY
420,784347,COLUMBIA COUNTY
421,679408,COLUMBIA COUNTY
422,306619,COLUMBIA COUNTY
423,457004,COLUMBIA COUNTY
424,329255,COLUMBIA COUNTY
425,900892,COLUMBIA COUNTY
426,633241,COLUMBIA COUNTY
427,502372,COLUMBIA COUNTY
428,719075,COLUMBIA COUNTY
429,920786,COLUMBIA COUNTY
430,232605,COLUMBIA COUNTY
431,601984,COLUMBIA COUNTY
432,459878,COLUMBIA COUNTY
433,565530,COLUMBIA COUNTY
434,202651,COLUMBIA COUNTY
435,909104,COLUMBIA COUNTY
436,872719,COLUMBIA COUNTY
437,997611,COLUMBIA COUNTY
438,519606,COLUMBIA COUNTY
439,624248,COLUMBIA COUNTY
440,783767,COLUMBIA COUNTY
441,285479,COLUMBIA COUNTY
442,424793,COLUMBIA COUNTY
443,256213,COLUMBIA COUNTY
444,155199,COLUMBIA COUNTY
445,830871,COLUMBIA COUNTY
446,757768,COLUMBIA COUNTY
447,176583,COLUMBIA COUNTY
448,678864,COLUMBIA COUNTY
449,854000,COLUMBIA COUNTY
450,631978,COLUMBIA COUNTY
451,967058,COLUMBIA COUNTY
452,878374,COLUMBIA COUNTY
453,113053,COLUMBIA COUNTY
454,288738,COLUMBIA COUNTY
455,594369,COLUMBIA COUNTY
456,706890,COLUMBIA COUNTY
457,536032,COLUMBIA COUNTY
458,747825,COLUMBIA COUNTY
459,608124,COLUMBIA COUNTY
460,934739,COLUMBIA COUNTY
461,757078,COLUMBIA COUNTY
462,956518,COLUMBIA COUNTY
463,548584,COLUMBIA COUNTY
464,132904,COLUMBIA COUNTY
465,111857,COLUMBIA COUNTY
466,388383,COLUMBIA COUNTY
467,276410,BRADFORD COUNTY
468,546756,BRADFORD COUNTY
469,669229,MADISON COUNTY
470,766573,MADISON COUNTY
471,765578,MADISON COUNTY
472,166613,MADISON COUNTY
473,883261,MADISON COUNTY
474,842655,MADISON COUNTY
475,248167,SUWANNEE COUNTY
476,976562,SUWANNEE COUNTY
477,620457,SUWANNEE COUNTY
478,336697,SUWANNEE COUNTY
479,648295,SUWANNEE COUNTY
480,858080,SUWANNEE COUNTY
481,579910,SUWANNEE COUNTY
482,735184,SUWANNEE COUNTY
483,420445,SUWANNEE COUNTY
484,373504,SUWANNEE COUNTY
485,266080,SUWANNEE COUNTY
486,178535,SUWANNEE COUNTY
487,574531,BAKER COUNTY
488,606491,BAKER COUNTY
489,885991,BAKER COUNTY
490,908170,BAKER COUNTY
491,487022,BAKER COUNTY
492,723719,BAKER COUNTY
493,628922,BAKER COUNTY
494,232316,BAKER COUNTY
495,151933,BAKER COUNTY
496,225577,BAKER COUNTY
497,443296,BAKER COUNTY
498,747464,BAKER COUNTY
499,548566,BAKER COUNTY
500,510281,BAKER COUNTY
501,481334,BAKER COUNTY
502,621142,BAKER COUNTY
503,907206,BAKER COUNTY
504,963412,BAKER COUNTY
505,561805,BAKER COUNTY
506,177053,BAKER COUNTY
507,888564,BAKER COUNTY
508,399592,BAKER COUNTY
509,616030,BAKER COUNTY
510,671336,BAKER COUNTY
511,914194,BAKER COUNTY
512,632104,BAKER COUNTY
513,895447,BAKER COUNTY
514,969519,BAKER COUNTY
515,149119,BAKER COUNTY
516,804466,BAKER COUNTY
517,688199,BAKER COUNTY
518,977912,BAKER COUNTY
519,312530,BAKER COUNTY
520,154572,BAKER COUNTY
521,299157,BAKER COUNTY
522,358433,BAKER COUNTY
523,131991,BAKER COUNTY
524,844614,BAKER COUNTY
525,735501,BAKER COUNTY
526,703956,BAKER COUNTY
527,547680,BAKER COUNTY
528,562722,BAKER COUNTY
529,820860,BAKER COUNTY
530,894562,BAKER COUNTY
531,577091,BAKER COUNTY
532,755818,BAKER COUNTY
533,839723,BAKER COUNTY
534,118899,BAKER COUNTY
535,612231,BAKER COUNTY
536,163526,BAKER COUNTY
537,278995,BAKER COUNTY
538,875706,BAKER COUNTY
539,712263,BAKER COUNTY
540,241888,BAKER COUNTY
541,115934,BAKER COUNTY
542,214979,BAKER COUNTY
543,601369,BAKER COUNTY
544,859735,BAKER COUNTY
545,868972,BAKER COUNTY
546,369631,BAKER COUNTY
547,130797,SUWANNEE COUNTY
548,770857,SUWANNEE COUNTY
549,834275,SUWANNEE COUNTY
550,102432,SUWANNEE COUNTY
551,776440,SUWANNEE COUNTY
552,945568,SUWANNEE COUNTY
553,132404,SUWANNEE COUNTY
554,395018,SUWANNEE COUNTY
555,248575,SUWANNEE COUNTY
556,812631,SUWANNEE COUNTY
557,220621,SUWANNEE COUNTY
558,139061,SUWANNEE COUNTY
559,419108,SUWANNEE COUNTY
560,391574,SUWANNEE COUNTY
561,449147,SUWANNEE COUNTY
562,998635,SUWANNEE COUNTY
563,437290,SUWANNEE COUNTY
564,395835,SUWANNEE COUNTY
565,613321,SUWANNEE COUNTY
566,865150,SUWANNEE COUNTY
567,635664,SUWANNEE COUNTY
568,529300,SUWANNEE COUNTY
569,430318,SUWANNEE COUNTY
570,441395,SUWANNEE COUNTY
571,294015,SUWANNEE COUNTY
572,950097,SUWANNEE COUNTY
573,110324,SUWANNEE COUNTY
574,416938,SUWANNEE COUNTY
575,586755,SUWANNEE COUNTY
576,863494,SUWANNEE COUNTY
577,574538,SUWANNEE COUNTY
578,514370,SUWANNEE COUNTY
579,373414,SUWANNEE COUNTY
580,997019,SUWANNEE COUNTY
581,910144,SUWANNEE COUNTY
582,552357,SUWANNEE COUNTY
583,655342,SUWANNEE COUNTY
584,897773,SUWANNEE COUNTY
585,926390,SUWANNEE COUNTY
586,216408,SUWANNEE COUNTY
587,548404,SUWANNEE COUNTY
588,206428,SUWANNEE COUNTY
589,292458,SUWANNEE COUNTY
590,919465,SUWANNEE COUNTY
591,630483,SUWANNEE COUNTY
592,825224,SUWANNEE COUNTY
593,404295,SUWANNEE COUNTY
594,150387,SUWANNEE COUNTY
595,946844,SUWANNEE COUNTY
596,751897,SUWANNEE COUNTY
597,910845,SUWANNEE COUNTY
598,763316,SUWANNEE COUNTY
599,727002,SUWANNEE COUNTY
600,559336,SUWANNEE COUNTY
601,236251,SUWANNEE COUNTY
602,529747,SUWANNEE COUNTY
603,858323,SUWANNEE COUNTY
604,158617,SUWANNEE COUNTY
605,334713,SUWANNEE COUNTY
606,318842,SUWANNEE COUNTY
607,649501,SUWANNEE COUNTY
608,445540,SUWANNEE COUNTY
609,371999,SUWANNEE COUNTY
610,218472,SUWANNEE COUNTY
611,580250,SUWANNEE COUNTY
612,907556,SUWANNEE COUNTY
613,327269,SUWANNEE COUNTY
614,892361,SUWANNEE COUNTY
615,398442,SUWANNEE COUNTY
616,423598,SUWANNEE COUNTY
617,327184,SUWANNEE COUNTY
618,314582,SUWANNEE COUNTY
619,975779,SUWANNEE COUNTY
620,337568,SUWANNEE COUNTY
621,459597,SUWANNEE COUNTY
622,511988,SUWANNEE COUNTY
623,455917,SUWANNEE COUNTY
624,304879,SUWANNEE COUNTY
625,881425,SUWANNEE COUNTY
626,208817,SUWANNEE COUNTY
627,918862,SUWANNEE COUNTY
628,523984,SUWANNEE COUNTY
629,226520,SUWANNEE COUNTY
630,413066,SUWANNEE COUNTY
631,177491,SUWANNEE COUNTY
632,906786,SUWANNEE COUNTY
633,252960,SUWANNEE COUNTY
634,753041,SUWANNEE COUNTY
635,275656,SUWANNEE COUNTY
636,366151,SUWANNEE COUNTY
637,143520,SUWANNEE COUNTY
638,578715,SUWANNEE COUNTY
639,728171,SUWANNEE COUNTY
640,147189,SUWANNEE COUNTY
641,626834,SUWANNEE COUNTY
642,840720,SUWANNEE COUNTY
643,911131,SUWANNEE COUNTY
644,814705,SUWANNEE COUNTY
645,896748,SUWANNEE COUNTY
646,640263,SUWANNEE COUNTY
647,756661,SUWANNEE COUNTY
648,267816,SUWANNEE COUNTY
649,876992,SUWANNEE COUNTY
650,866801,SUWANNEE COUNTY
651,135106,SUWANNEE COUNTY
652,995558,SUWANNEE COUNTY
653,577604,SUWANNEE COUNTY
654,334208,SUWANNEE COUNTY
655,601206,SUWANNEE COUNTY
656,335613,SUWANNEE COUNTY
657,586214,SUWANNEE COUNTY
658,645424,SUWANNEE COUNTY
659,584595,SUWANNEE COUNTY
660,924430,SUWANNEE COUNTY
661,842675,CLAY COUNTY
662,379599,CLAY COUNTY
663,280286,CLAY COUNTY
664,147622,CLAY COUNTY
665,592104,CLAY COUNTY
666,936914,CLAY COUNTY
667,689421,CLAY COUNTY
668,162509,CLAY COUNTY
669,205789,CLAY COUNTY
670,559033,CLAY COUNTY
671,411708,CLAY COUNTY
672,945341,CLAY COUNTY
673,985128,CLAY COUNTY
674,859902,CLAY COUNTY
675,767859,CLAY COUNTY
676,235747,CLAY COUNTY
677,644183,CLAY COUNTY
678,956443,CLAY COUNTY
679,278796,CLAY COUNTY
680,608556,CLAY COUNTY
681,454763,CLAY COUNTY
682,908461,CLAY COUNTY
683,333252,CLAY COUNTY
684,332105,CLAY COUNTY
685,874411,CLAY COUNTY
686,700665,CLAY COUNTY
687,582288,CLAY COUNTY
688,903047,CLAY COUNTY
689,446936,CLAY COUNTY
690,758257,CLAY COUNTY
691,205579,CLAY COUNTY
692,542261,CLAY COUNTY
693,467776,CLAY COUNTY
694,547808,CLAY COUNTY
695,148603,CLAY COUNTY
696,620151,CLAY COUNTY
697,423148,CLAY COUNTY
698,285805,CLAY COUNTY
699,666963,CLAY COUNTY
700,218058,CLAY COUNTY
701,824968,CLAY COUNTY
702,583791,CLAY COUNTY
703,288895,CLAY COUNTY
704,622218,CLAY COUNTY
705,471679,CLAY COUNTY
706,330603,CLAY COUNTY
707,340377,CLAY COUNTY
708,325580,CLAY COUNTY
709,355939,CLAY COUNTY
710,537551,CLAY COUNTY
711,817217,CLAY COUNTY
712,307610,CLAY COUNTY
713,934843,CLAY COUNTY
714,479633,CLAY COUNTY
715,261810,CLAY COUNTY
716,251498,CLAY COUNTY
717,652676,CLAY COUNTY
718,430162,CLAY COUNTY
719,107565,CLAY COUNTY
720,137773,CLAY COUNTY
721,150881,CLAY COUNTY
722,818305,CLAY COUNTY
723,772993,CLAY COUNTY
724,335686,CLAY COUNTY
725,354163,CLAY COUNTY
726,131859,CLAY COUNTY
727,102237,CLAY COUNTY
728,496689,CLAY COUNTY
729,386266,CLAY COUNTY
730,189496,CLAY COUNTY
731,448454,CLAY COUNTY
732,152055,CLAY COUNTY
733,516954,CLAY COUNTY
734,346222,LAFAYETTE COUNTY
735,827364,LAFAYETTE COUNTY
736,865575,LAFAYETTE COUNTY
737,666784,LAFAYETTE COUNTY
738,908304,LAFAYETTE COUNTY
739,724035,LAFAYETTE COUNTY
740,616507,LAFAYETTE COUNTY
741,743467,LAFAYETTE COUNTY
742,542565,LAFAYETTE COUNTY
743,666420,LAFAYETTE COUNTY
744,716343,LAFAYETTE COUNTY
745,166243,LAFAYETTE COUNTY
746,869527,LAFAYETTE COUNTY
747,793316,LAFAYETTE COUNTY
748,525660,LAFAYETTE COUNTY
749,228542,LAFAYETTE COUNTY
750,345892,LAFAYETTE COUNTY
751,235832,LAFAYETTE COUNTY
752,710139,LAFAYETTE COUNTY
753,352426,LAFAYETTE COUNTY
754,384442,LAFAYETTE COUNTY
755,286876,LAFAYETTE COUNTY
756,300150,LAFAYETTE COUNTY
757,604759,LAFAYETTE COUNTY
758,374411,LAFAYETTE COUNTY
759,447691,LAFAYETTE COUNTY
760,735405,LAFAYETTE COUNTY
761,476328,LAFAYETTE COUNTY
762,188892,LAFAYETTE COUNTY
763,738918,LAFAYETTE COUNTY
764,320338,LAFAYETTE COUNTY
765,443947,LAFAYETTE COUNTY
766,167317,LAFAYETTE COUNTY
767,430437,LAFAYETTE COUNTY
768,873593,LAFAYETTE COUNTY
769,653808,LAFAYETTE COUNTY
770,122734,LAFAYETTE COUNTY
771,603486,LAFAYETTE COUNTY
772,855783,LAFAYETTE COUNTY
773,379870,LAFAYETTE COUNTY
774,536577,LAFAYETTE COUNTY
775,178873,LAFAYETTE COUNTY
776,300562,LAFAYETTE COUNTY
777,555619,LAFAYETTE COUNTY
778,758060,LAFAYETTE COUNTY
779,489526,LAFAYETTE COUNTY
780,861565,LAFAYETTE COUNTY
781,692765,LAFAYETTE COUNTY
782,428588,LAFAYETTE COUNTY
783,116583,LAFAYETTE COUNTY
784,779587,LAFAYETTE COUNTY
785,827888,LAFAYETTE COUNTY
786,983194,LAFAYETTE COUNTY
787,549068,LAFAYETTE COUNTY
788,116416,LAFAYETTE COUNTY
789,787983,LAFAYETTE COUNTY
790,473317,LAFAYETTE COUNTY
791,139920,LAFAYETTE COUNTY
792,464379,LAFAYETTE COUNTY
793,110577,LAFAYETTE COUNTY
794,964532,LAFAYETTE COUNTY
795,783365,LAFAYETTE COUNTY
796,243580,LAFAYETTE COUNTY
797,936931,LAFAYETTE COUNTY
798,464273,LAFAYETTE COUNTY
799,142893,LAFAYETTE COUNTY
800,583948,LAFAYETTE COUNTY
801,466262,LAFAYETTE COUNTY
802,868179,CLAY COUNTY
803,368509,CLAY COUNTY
804,825334,CLAY COUNTY
805,584286,CLAY COUNTY
806,426369,CLAY COUNTY
807,621175,CLAY COUNTY
808,740683,CLAY COUNTY
809,974438,CLAY COUNTY
810,443137,CLAY COUNTY
811,174313,CLAY COUNTY
812,515429,CLAY COUNTY
813,168714,CLAY COUNTY
814,967565,CLAY COUNTY
815,216270,CLAY COUNTY
816,650875,CLAY COUNTY
817,971511,CLAY COUNTY
818,413953,CLAY COUNTY
819,450658,CLAY COUNTY
820,228299,CLAY COUNTY
821,717202,CLAY COUNTY
822,772804,CLAY COUNTY
823,932466,CLAY COUNTY
824,533299,CLAY COUNTY
825,284003,CLAY COUNTY
826,205704,CLAY COUNTY
827,346837,CLAY COUNTY
828,371665,CLAY COUNTY
829,574882,CLAY COUNTY
830,110888,CLAY COUNTY
831,375055,BAKER COUNTY
832,482716,BAKER COUNTY
833,603519,BAKER COUNTY
834,268570,BAKER COUNTY
835,820558,CLAY COUNTY
836,498729,CLAY COUNTY
837,950716,CLAY COUNTY
838,128894,CLAY COUNTY
839,881492,CLAY COUNTY
840,321346,CLAY COUNTY
841,581291,CLAY COUNTY
